First name,Name,Citation,SDG
,Chisum,"MCGLOTHIN, J., CREWS, B., EYMAN, D., CHISUM, REITZ, B. (2019). Innovative Teaching Strategies for the Business Communication Classroom: Tactics from First Year Integrated Core Faculty. <i>Association of Business Communication</i>, Detroit.",
,Chisum,"MCGLOTHIN, J., CREWS, B., EYMAN, D., CHISUM, REITZ, B. (2019). Innovative Teaching Strategies for the Business Communication Classroom: Tactics from First Year Integrated Core Faculty. <i>Association of Business Communication</i>, Detroit.",
,Conger,"JONES, J., YORK, J., LENOX, M., CONGER, M., VEDULA, S. (2018). Constructing Green Building: Sustainability Transition Through an Entrepreneurial Lens. <i>Academy of Management Conference</i>, Chicato.",
,Conger,"JONES, J., YORK, J., LENOX, M., CONGER, M., VEDULA, S. (2018). Constructing Green Building: Sustainability Transition Through an Entrepreneurial Lens. <i>Academy of Management Conference</i>, Chicato.",
,Corsi,"D`LIMA, R., PARASKEVAS, J.-P., GRIMM, C., CORSI (2018). The Impact of a Top Management Teams' Supply Chain and Operations Experience on Supplier Portfolio Management. <i>DSI</i>, Chicago.",
,Corsi,"D`LIMA, R., PARASKEVAS, J.-P., GRIMM, C., CORSI (2018). The Impact of a Top Management Teams' Supply Chain and Operations Experience on Supplier Portfolio Management. <i>DSI</i>, Chicago.",
,Corsi,"PARASKEVAS, J.-P., MARTINEZ, C., GRIMM, C., CORSI (2017). The Influence of Top Management Team Characteristics on Supply Chain Risk Management Decisions. <i>DSI</i>, DC.",
,Corsi,"PARASKEVAS, J.-P., STEVEN, A., GRIMM, C., CORSI (2018). Supply Chain and Operations Experience in the C-Suite: A Study of Supply Chain Responsiveness and Quality Glitches.. <i>Logistics, Informatics, and Service Sciences (LISS)</i>, Toronto.",
,Corsi,"PARASKEVAS, J.-P., STEVEN, A., GRIMM, C., CORSI (2018). Supply Chain and Operations Experience in the C-Suite: A Study of Supply Chain Responsiveness and Quality Glitches.. <i>Logistics, Informatics, and Service Sciences (LISS)</i>, Toronto.",
,D'Innocenzo,"KIKER, J., RESICK, C., ZIEGERT, J., D'INNOCENZO, DUST, S. (2020). Shared leadership and team performance: Do power differentials matter? <i>Psychological Development and Education [China]</i>, Vancouver.",
,D'Innocenzo,"KIKER, J., RESICK, C., ZIEGERT, J., D'INNOCENZO, DUST, S. (2020). Shared leadership and team performance: Do power differentials matter? <i>Psychological Development and Education [China]</i>, Vancouver.",
,D'Innocenzo,"KIKER, J., RESICK, C., ZIEGERT, J., D'INNOCENZO, DUST, S. (2020). Shared leadership emergence and its effects on information exchange and performance.. <i>Society of Industrial and Organizational Psychology</i>, Austin.",
,D'Innocenzo,"KIKER, J., RESICK, C., ZIEGERT, J., D'INNOCENZO, DUST, S. (2020). Shared leadership emergence and its effects on information exchange and performance.. <i>Society of Industrial and Organizational Psychology</i>, Austin.",
,Dillingham,"PARKER, K., IVANOV, B., MATIG, J., DILLINGHAM, PERITORE, N. (2020). Inoculation Booster Messages: Frequency, Content, and Timing. <i>National Communication Association</i>, Indianapolis.",
,Dillingham,"PARKER, K., IVANOV, B., MATIG, J., DILLINGHAM, PERITORE, N. (2020). Inoculation Booster Messages: Frequency, Content, and Timing. <i>National Communication Association</i>, Indianapolis.",
,Durden,"SIRIWARDANE, H., DURDEN, WILSON, R., GRAY, E., HAMILTON, L.  (. (2014). Communications Skills of Accountants:  What Do We Know and Gaps in our Knowledge. <i>Accounting Education</i>.",
,Edwards,"WEESE, M., STALLRICH, J., SMUCKER, B., EDWARDS (2020). Stop Treating Supersaturated Designs like Other Screening Designs. <i>Joint Statistical Meetings</i>, Virtual.",
,Edwards,"WEESE, M., STALLRICH, J., SMUCKER, B., EDWARDS (2021). Research Based Best Practices and the Future. <i>DOE Fireside Chat</i>, Virtual.",
,Edwards,"WEESE, M., STALLRICH, J., SMUCKER, B., EDWARDS (2021). Research Based Best Practices and the Future. <i>DOE Fireside Chat</i>, Virtual.",
,Edwards,"WEESE, M., STALLRICH, J., SMUCKER, B., EDWARDS (2021). Strategies for Supersaturated Screening: Group Orthogonal and  Var(s+) Designs. <i>European Network for Business and Industrial Statistics</i>, Virtual.",
,Grimm,"D'LIMA, R., PARASKEVAS, J.-P., CORSI, T., GRIMM (2019). The Impact of a Top Management Teams' Supply Chain and Operations Experience on Supplier Portfolio Management.. <i>Decision Sciences Annual Meeting</i>, New Orleans.",
,Grimm,"D'LIMA, R., PARASKEVAS, J.-P., CORSI, T., GRIMM (2019). The Impact of a Top Management Teams' Supply Chain and Operations Experience on Supplier Portfolio Management.. <i>Decision Sciences Annual Meeting</i>, New Orleans.",
,Gumusay,"DANA, L. P., ROUNDY, P., SMITH, B., GUMUSAY, ABDELGAWAD, A. (2022). Entrepreneurship and religion: The interaction of multiple identities. <i>82nd Academy of Management Meeting</i>, Seattle.",
,Gumusay,"DANA, L. P., ROUNDY, P., SMITH, B., GUMUSAY, ABDELGAWAD, A. (2022). Entrepreneurship and religion: The interaction of multiple identities. <i>82nd Academy of Management Meeting</i>, Seattle.",
,Havelka,"HOLTEL, A., PADDOCK, C., REITER, F., HAVELKA, D. (2017). A Business Multi-Case Study of Change Management in Software Implementation. <i>EDSIG Conference</i>, Austin.",
,Holcomb,"ELLRAM, L., TATE, W., MURFIELD, M., HOLCOMB, T. (2017). The Impact of Logistics and Transportation Commoditization on Customer Relationship Management in the Automotive Industry. <i>Council of Supply Chain Management Professionals</i>, Atlanta.",
,Holcomb,"ELLRAM, L., TATE, W., MURFIELD, M., HOLCOMB, T. (2017). The Impact of Logistics and Transportation Commoditization on Customer Relationship Management in the Automotive Industry. <i>Council of Supply-Chain Management Professionals (CSCMP)</i>, Atlanta.",
,Holcomb,"SMITH, B., LAWSON, A., JONES, J., HOLCOMB, T., MINNICH, A. (2020). Believing in impact investing: Unleashing faith-based investors through spiritual identity work. <i>17th Social Entrepreneurship Research Conference</i>, Virtual.",
,Imberman,"ACTON, R., CAO, W., COOK, E., IMBERMAN, LOVENHEIM, M. (2022). The Effect of Vaccine Mandates on Disease Spread: Evidence from College COVID-19 Mandates. <i>2021 APPAM Fall Research Conference</i>, Austin.",
,Josephy,"BRYMER, R., PARASKEVAS, J.-P., ELLRAM, L., JOSEPHY (2018). The Concentration of Talent Sourcing: Source Abundance, Recruiter Power, and Organizational Performance.. <i>Strategic Management Society Conference</i>, Paris.",
,Josephy,"BRYMER, R., PARASKEVAS, J.-P., ELLRAM, L., JOSEPHY (2018). The Concentration of Talent Sourcing: Source Abundance, Recruiter Power, and Organizational Performance.. <i>Strategic Management Society Conference</i>, Paris.",
,Kassa,"DELISLE, J., DIAVATOPOULOS, D., FODOR, A., KASSA, H. (2018). Variation in Option Implied Volatility Spread and Future Stock Returns. <i>Conference on Derivative Markets</i>, Auckland.",
,Kassa,"DELISLE, J., DIAVATOPOULOS, D., FODOR, A., KASSA, H. (2018). Variation in Option Implied Volatility Spread and Future Stock Returns. <i>Conference on Derivative Markets</i>, Auckland.",
,Kinicki,"REINA, C., DUST, S., PETERSON, S., KINICKI, WEI, W. (2020). Why leader mindfulness relates to performance: The mediating role of leader empathy.. <i>Academy of Management Conference</i>, Boston.",
,Kinicki,"REINA, C., DUST, S., PETERSON, S., KINICKI, WEI, W. (2020). Why leader mindfulness relates to performance: The mediating role of leader empathy.. <i>Academy of Management Conference</i>, Boston.",
,Ko,"MAI, F., ZHANG, D., SHAN, Z., KO (2020). Is COVID-19 Widening the Racial Digital Divide in Healthcare? Evidence from Patient Portal Usage. <i>2020 Health Information Technology Symposium</i>, Virtual.",
,Ko,"MAI, F., ZHANG, D., SHAN, Z., KO (2020). Is COVID-19 Widening the Racial Digital Divide in Healthcare? Evidence from Patient Portal Usage. <i>2020 Health Information Technology Symposium</i>, Virtual.",
,Leonard,"KIM, Y., MAWDSLEY, J., BRYMER, R., LEONARD, R. (2019). Boomerangs and Multiple Movers in Knowledge Intensive Context: A Comparison of Post Hiring Productivity. <i>Strategic Management Society Conference</i>, Minneapolis.",
,Li,"WANG, J., ESTEKY, S., LALWANI, A., LI (2019). The Effect of Power Distance on Consumers' Preference for Logo Size. <i>China India Insights Conference</i>, Cambridge.",
,Li,"WANG, J., ESTEKY, S., LALWANI, A., LI (2019). The Effect of Power Distance on Consumers' Preference for Logo Size. <i>China India Insights Conference</i>, Cambridge.",
,Mahar,"SALZARULO, P., MODI, S., MISHRA, S., MAHAR (2021). Examining the role of physician contracting emphasis and medical resident intensity on patient recommendations in hospitals. <i>Decision Sciences Institute Annual Conference</i>, virtual.",
,Mahar,"SALZARULO, P., MODI, S., MISHRA, S., MAHAR (2021). Examining the role of physician contracting emphasis and medical resident intensity on patient recommendations in hospitals. <i>Decision Sciences Institute Annual Conference</i>, virtual.",
,McMullen,"SMITH, B., BUSENITZ, L., CONGER, M., MCMULLEN, SARASON, Y. (2019). Faith and social entrepreneurship. <i>Social Entrepreneurship Conference</i>, Bloomington.",
,McMullen,"SMITH, B., BUSENITZ, L., CONGER, M., MCMULLEN, SARASON, Y. (2019). Faith and social entrepreneurship. <i>Social Entrepreneurship Conference</i>, Bloomington.",
,Megahed,"JONES-FARMER, A., WEESE, M., MARTINEZ, W., MEGAHED, F. (2017). Update on Statistical Learning Applied to Process Monitoring. <i>Invited presentation at the Fall Technical Conference of the American Statistical Association</i>, Philadelphia, United States of America.","Industry, Innovation and Infrastructure"
,Megahed,"JONES-FARMER, A., WEESE, M., MARTINEZ, W., MEGAHED, F. (2017). Update on Statistical Learning Applied to Process Monitoring. <i>Invited presentation at the Fall Technical Conference of the American Statistical Association</i>, Philadelphia.",
,Michaely,"BRADLEY, D., GOKKAYA, S., LIU, X., MICHAELY (2017). Does Policy Analysis Matter? The Value of Washington Analysts to Investment Research and Capital Markets. <i>Financial Management Association</i>, Boston, United States of America.",NONE
,Michaely,"BRADLEY, D., GOKKAYA, S., LIU, X., MICHAELY (2017). Does Policy Analysis Matter? The Value of Washington Analysts to Investment Research and Capital Markets. <i>Financial Management Association</i>, Boston.",
,Moorefield,"HILLENMEYER, M., JACKSON, N., MCCOSH, S., MOOREFIELD, SMITH, B. (2021). Founder therapy: The role of a faith-based group. <i>CincyStartup Week</i>, Cincinnati.",
,Moorefield,"HILLENMEYER, M., JACKSON, N., MCCOSH, S., MOOREFIELD, SMITH, B. (2021). Founder therapy: The role of a faith-based group. <i>CincyStartup Week</i>, Cincinnati.",
,Morey,"BAKER, E., BOULTON, T., BRAGA-ALVES, M., MOREY (2021). ESG Government Risk and International IPO Underpricing. <i>Ethical Finance and Sustainable Development Workshop</i>, N/A.",
