pub_year,citation,no_sdg_listed,sdg1_no_poverty,sdg2_zero_hunger,sdg3_good_health_and_well_being,sdg4_quality_education,sdg5_gender_equality,sdg6_clean_water_and_sanitation,sdg7_affordable_and_clean_energy,sdg8_decent_work_and_economic_growth,sdg9_industry_innovation_and_infrastructure,sdg10_reduce_inequalities,sdg11_sustainable_cities_and_communities,sdg12_responsible_consumption_and_production,sdg13_climate_action,sdg14_life_below_water,sdg15_life_on_land,sdg16_peace_justice_and_strong_institutions,sdg17_partnerships_for_the_goals
2008,"Xiao, S., Wang, S., Ni, J., Briggs, R., Rysz, M. (2008). Reliability Analysis Of Carbon Nanotubes Using Molecular Dynamics With The Aid Of Grid Computing. Journal Of Computational And Theoretical Nanoscience, 5 (4). Doi:10.1166/Jctn.2008.2495.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Dahlstrom, R. (2011). Green Marketing Management.",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,"Wiggers, T., Ashcraft, A. (2012). Defaults And Losses On Commercial Real Estate Bonds During The Great Depression Era. Federal Reserve Bank Of New York.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Rysz, M., Krokhmal, P., Pasiliao, E. (2013). Minimum Risk Maximum Clique Problem. Springer Proceedings In Mathematics & Statistics.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Lovanh, N., Rysz, M., Quinatnar, A., Loughrin, J., Mahmood, R. (2014). Effect Of Heat Fluxes On Ammonia Emission From Swine Waste Lagoon Based On Neural Network Analyses. Journal Of Environmental Science And Technology, 7 (1). Doi:10.3923/Jest.2014.16.29.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Rysz, M., Pajouh, F., Krokhmal, P., Pasiliao, E. (2014). On Risk-Averse Weighted K-Club Problems. Springer.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Rysz, M., Mirghorbani, M., Krokhmal, P. (2014). On Risk-Averse Maximum Weighted Subgraph Problems. Journal Of Combinatorial Optimization, 28, 167�185. Doi:10.1007/S10878-014-9718-0.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Kang, Y., Qiu, P. (2014). Jump Detection In Blurred Regression Surfaces. Technometrics, 56 (4), 539-550. Doi:10.1080/00401706.2013.844732.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"Rysz, M., Vinel, A., Krokhmal, P., Pasiliao, E. (2015). A Scenario Decomposition Algorithm For Stochastic Programming Problems With A Class Of Downside Risk Measures. Informs Journal On Computing, 27 (2). Doi:10.1287/Ijoc.2014.0635.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Biggerstaff, L., Cicero, D. C., Puckett, A. (2015). Suspect Ceos, Unethical Culture, And Corporate Misbehavior. Journal Of Financial Economics, 117 (1), 98-121. Doi:10.1016/J.jfineco.2014.12.001.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Utg�Rd, J., Dahlstrom, R., Nygaard, A. (2015). Franchising, Local Market Characteristics And Alcohol Sales To Minors In Retailing,. Journal Of Business Research, 68 (10), 2117-2124.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2015,"Taylor, B., Li, J. (2015). Do Fewer Guns Lead To Less Crime? Evidence From Australia. International Review Of Law And Economics, 42, 72-78.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Moul, C. (2015). Estimating Demand For Spatially Differentiated Firms With Unobserved Quantities And Limited Price Data. Economics Letters, 131, 50-53. Doi:10.1016/J.econlet.2015.03.034.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Moul, C. (2015). The Movie Industry. Waveland Press.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Moul, C., Li, J. (2015). Who Should Handle Retail? Vertical Contracts, Customer Service, And Social Welfare In A Chinese Mobile Phone Market. International Journal Of Industrial Organization, 39, 29-43. Doi:10.1016/J.ijindorg.2015.01.001.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Moul, C., Nye, J. (2015). Benford's Law As A Test For Manipulation Of Economic And Financial Data. Princeton University Press.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Crosno, J. L., Dahlstrom, R., Manolis, C. (2015). Comply Or Defy? An Empirical Investigation Of Change Requests In Buyer-Supplier Relationships. Journal Of Business & Industrial Marketing, 30 (5), 688-699. Doi:10.1108/Jbim-09-2013-0198.",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2015,"Henry, T., Kisgen, D., Wu, J. (2015). Equity Short Selling And Bond Rating Downgrades. Journal Of Financial Intermediation, 24 (1), 89-111. Doi:10.1016/J.jfi.2014.02.005.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Autore, D., Boulton, T., Braga-Alves, M. (2015). Failures To Deliver, Short Sale Constraints, And Stock Overvaluation. Financial Review (Us), 50, 143-172.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Islam, T.  M.  T., Minier, J., Ziliak, J. P. (2015). On Persistent Poverty In A Rich Country. Southern Economic Journal, 81 (3), 653-678. Doi:10.4284/0038-4038-2012.243.",0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2015,"Li, J., Enders, W. (2015). Trend-Cycle Decomposition Allowing For Multiple Smooth Structural Changes In The Trend Of Us Real Gdp. Journal Of Macroeconomics, 44, 71-81.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Li, J., Lee, J. (2015). Improved Autogressive Forecasting Under Non-Normality Using Residual Augmented  Least Squares. Journal Of Statistical Computation And Simulation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Li, J., Miller, N. (2015). Foreign Exchange Market Inefficiency And Exchange Rate Anomalies. Journal Of International Financial Markets, Institutions And Money, 34, 311-320.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Zhang, J., Kang, Y., Yang, Y., Qiu, P. (2015). Statistical Monitoring Of The Hand, Foot And Mouth Disease In China. Biometrics, 71 (3), 841-850. Doi:10.1111/Biom.12301.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Kang, Y., Gong, X., Gao, J., Qiu, P. (2015). Jump Detection In Generalized Error-In-Variables Regression With An Application To Australian Health Tax Policies. Annals Of Applied Statistics, 9 (2). Doi:10.1214/15-Aoas814.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Pyzoha, J. (2015). Why Do Restatements Decrease In A Clawback Environment? An Investigation Into Financial Reporting Executives' Decision-Making During The Restatement Process. The Accounting Review, 90 (6), 2515-2536. Doi:10.2308/Accr-51049.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Berg, K., Mark, N. (2015). Third-Country Effects On The Exchange Rate. Journal Of International Economics, 96, 227-243. Doi:Https://Doi.org/10.1016/J.jinteco.2015.03.003.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Qiu, P., Kang, Y. (2015). Blind Image Deblurring Using Jump Regression Analysis. Statistica Sinica. Doi:10.5705/Ss.2014.054.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"Abdel-Khalik, R., Chen, P.-C. (2015). Growth In Financial Derivatives: The Public Policy And Accounting Incentives. Journal Of Accounting And Public Policy, 34 (3), 291-318. Doi:Http://Dx.doi.org/10.1016/J.jaccpubpol.2015.01.002.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2015,"Eaton, T., Burke, Q., Chen, P.-C. (2015). Marking Pensions To Market: What Are The Implications? Cpa Journal, 85 (5), 30-33.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015,"Yang, Z. Y. (2015). Ethnic Youth: Parental Style And Consumer Socialization. Routledge Press, A Taylor & Francis Group In London.",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2016,"Cannatelli, B., Smith, B., Guidici, A., Jones, J., Conger, M. (2016). An Expanded Model Of Distributed Leadership During Organizational Knowledge Creation In Social Entrepreneurship.. Long Range Planning, 50 (5), 582-602. Doi:Https://Doi.org/10.1016/J.lrp.2016.10.002.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Biggerstaff, L., Cicero, D., Puckett, A. (2016). Is Your Firm Underperforming? Your Ceo Might Be Golfing Too Much. Harvard Business Review.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Dahlstrom, R., Nygaard, A. (2016). Eco-Opportunism And Eco-Stewardship In Distribution Channels. European Marketing Academy Conference Proceedings.",0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1
2016,"Nygaard, A., Dahlstrom, R. (2016). The Psychology Of Co-Branding Alliances: The Business-To-Business Relationship Outcomes Of Role Stress. European Marketing Academy Conference Proceedings.",0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
2016,"Yanik, S., Surer, O., �Ztay?I, B. (2016). Designing Sustainable Energy Regions Using Genetic Algorithms And Location-Allocation Approach. Applied Energy, 97, 161-172. Doi:10.1016/J.energy.2015.12.116.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Fine, R. L., Yang, Z., Spivey, C., Boardman, B., Courtney, M. (2016). Early Experience With Digital Advance Care Planning And Directives, A Novel Consumer-Driven Program. Baylor University Medical Center Proceedings, 29 (3), 263-267. Doi:10.1080/08998280.2016.11929430.",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,"Rysz, M., Pajouh, F., Krokhmal, P., Pasiliao, E. (2016). Identifying Risk-Averse Low-Diameter Clusters In Graphs With Stochastic Vertex Weights. Annals Of Operations Research, 262. Doi:10.1007/S10479-016-2212-6.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Martinez, W., Gray, J.  B. (2016). Noise Peeling Methods To Improve Boosting Algorithms. Computational Statistics & Data Analysis, 93, 483-497. Doi:10.1016/J.csda.2015.06.010.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Li, J. (2016). Effects Of Filtering Data On Testing Asymmetry In Threshold Autoregressive Models. Studies In Nonlinear Dynamics & Econometrics.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Li, J. (2016). System-Equation Adl Test For Threshold Cointegration With An Applcation Using The Term Structure Of Interst Rates. Oxford Bulletin Of Economics And Statistics.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Dahlstrom, R., Crosno, J. (2016). An Empirical Investigation Of Bilateral Investments And Trading Partner Opportunism In Retailing. Journal Of Marketing Channels, 23 (3), 146-156. Doi:Https://Doi.org/10.1080/1046669x.2016.1186473.",0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
2016,"Chen, P. C. (2016). Banks' Acquisition Of Private Information About Financial Misreporting. The Accounting Review, 91 (3), 835-857. Doi:Http://Dx.doi.org/10.2308/Accr-51222.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2016,"Boulton, T., Campbell, T.  C. (2016). Managerial Confidence And Initial Public Offerings. Journal Of Corporate Finance, 37, 375-392.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Jones-Farmer, A., Weese, M., Martinez, W., Megahed, F. (2017). Update On Statistical Learning Applied To Process Monitoring. Invited Presentation At The Fall Technical Conference Of The American Statistical Association, Philadelphia, United States Of America.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
