Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,100104.4514,17420417517.3556,131986.4293,0.9231,0.0562,0.0406
1,121948.0737,30671700011.0543,175133.3778,0.8801,0.0783,0.0496
2,89455.4687,13990938460.7831,118283.2975,0.9448,0.0447,0.0337
3,113664.8853,31169593067.6102,176549.1237,0.8845,0.0782,0.0476
4,94189.296,16281732034.7712,127599.8904,0.9192,0.0504,0.0364
5,105549.2128,23501617616.7022,153302.3732,0.9113,0.0678,0.0438
6,98478.8236,16857105191.3723,129834.9151,0.9202,0.0493,0.0381
7,115490.3942,24147201576.8885,155393.6986,0.9011,0.0628,0.0447
8,88981.4139,16295397063.8119,127653.4256,0.9412,0.0558,0.036
9,104463.724,21779137585.5904,147577.5646,0.9077,0.0652,0.0431
Mean,103232.5744,21211484012.594,144331.4096,0.9133,0.0609,0.0414
Std,10598.6231,5803313246.9018,19491.7475,0.0202,0.0111,0.005
