"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-01-01,2.5,-0.2,12,30.2,0,21.6,1014.7,3.3,-1.1,10.9,13.9,1017.8,NA,1.4,-1.2,4.9,21.3,0,11.3,1020
2021-01-02,5.4,2.5,7.5,0,0,12.2,1016,4.1,2.9,8.9,10.5,1017.1,0,3.5,2.1,7.1,0.8,0,17.6,1015.6
2021-01-03,3.3,1.4,3.6,0,0,10.4,1015.7,2.5,0.9,4.9,8.5,1015.7,4.6,3.1,2.1,3.8,1.5,0,10,1014.4
2021-01-04,2.6,0.3,7,0,0,3.6,1016.7,0.6,-2.1,2.9,4.9,1018,0,2,1.6,2.7,0.8,0,11.6,1016.5
2021-01-05,2,0.3,4.2,0.8,0,13,1017.6,-0.3,-3.1,0.9,9.4,1017.3,0.9,1.7,1,2.7,0.3,0,11.1,1016.1
2021-01-06,2.1,1.4,3.6,0,0,9.7,1026,1.1,-0.1,1.9,9,1025.9,0,2.4,1.6,3.2,0.3,0,13.2,1024.9
2021-01-07,2.6,1.4,4.2,0,0,18,1024,0.7,-0.1,1.9,9,1025.5,0,1.6,0.5,2.7,0,0,15.8,1026.2
2021-01-08,0.7,-0.7,1.4,0,0,20.2,1020.1,-0.1,-1.1,1.9,13.4,1020.7,0,-0.3,-1.2,0.5,0,0,17.1,1021.4
2021-01-09,-0.5,-5.2,2,0,0,10.1,1024.1,-1.2,-3.1,1.9,9.2,1023.9,0,0.3,-1.8,2.1,0,0,11.2,1023.2
2021-01-10,-2.6,-7.4,3.1,0,0,4.7,1027.7,-2.3,-7.1,2.9,4.7,1027.8,0,0.5,-1.2,2.7,0,0,5.2,1026.6
2021-01-11,-1.3,-4.6,-0.7,0,0,9.4,1026.2,-1.7,-6.1,-0.1,6,1026.3,0,-0.4,-1.8,0.5,0,0,15.9,1024.5
2021-01-12,-2.9,-4.6,1.4,0,0,14,1023.9,-3.8,-7.1,-2.1,8.6,1024.3,0,-0.9,-2.3,0.5,0,0,18.8,1021.4
2021-01-13,1.1,-2.4,8.6,0,0,15.5,1016.1,1.4,-3.1,6.9,11.5,1017.2,0,4.1,0.5,9.3,0,0,22.8,1012.8
2021-01-14,4,-1.3,10.3,0,0,16.9,1006.3,3.6,-0.1,6.9,11.7,1009,0,6.6,4.3,8.8,0.3,0,15.8,1007.1
2021-01-15,5.4,0.9,8.6,2.3,0,14.8,1001.7,2.9,-0.1,4.9,12.5,1003.8,3.4,4.8,1.6,7.7,3.3,0,18.5,1002.5
2021-01-16,0.6,-1.8,2.5,0.8,0,13.3,1004.8,-0.2,-1.1,0.9,12.9,1005,1.3,1.2,0.5,2.7,0.3,0,17.4,1002.6
2021-01-17,1.3,-0.7,2.5,2.3,0,13.3,1008.4,0.8,-0.1,1.9,13.9,1009.2,2.1,1.9,1,3.2,3,0,17.9,1005.1
2021-01-18,-0.3,-1.3,1.4,0,0,13.3,1014.3,-0.3,-1.1,-0.1,13.4,1015.1,0.2,0.4,-0.1,1.6,0.5,3,21.9,1010.8
2021-01-19,2.5,-0.7,7.5,0,0,12.6,1021.9,1.1,-1.1,4.9,9.9,1022.7,0,0.4,-0.7,1.6,1,3,24.1,1018.8
2021-01-20,1.7,-2.4,3.6,0,0,18.4,1021.7,-0.6,-5.1,1.9,14.8,1022,0.3,-2.3,-3.4,-0.1,2.3,5,24.5,1019
2021-01-21,3.7,0.9,10.9,0,0,18,1011.4,3.5,-1.1,7.9,17.8,1011.1,0,3,-1.8,7.1,0,3,30.6,1005.3
2021-01-22,2,-4.6,3.6,0,0,18.4,1016.6,-0.4,-6.1,2.9,14.9,1016.7,0,0.2,-4,2.7,0,0,31.9,1012.5
2021-01-23,-4.1,-10.2,1.4,0,0,10.4,1027.8,-5.2,-8.1,-1.1,9,1028.9,0,-4.6,-5.7,-3.4,0,0,19.3,1027.3
2021-01-24,-1.5,-2.4,0.9,1,0,9.7,1020.9,-2.6,-5.1,-1.1,8.1,1023.3,0.6,-3.7,-6.2,-1.2,0,0,14.7,1023.9
2021-01-25,0.4,-0.2,2,13,0,17.3,1013.2,-0.6,-2.1,1.5,7.6,1015.4,14.1,0.1,-1.2,1,0,0,9.7,1017.2
2021-01-26,4.1,1.4,7.5,0.8,0,18.7,1008.9,3.2,-0.1,6.9,15.8,1009,4.2,1.6,-0.1,3.2,3.3,0,17.9,1007.8
2021-01-27,1,-4,1.4,3.3,0,17.3,1022.5,-0.4,-3.1,-0.1,12.3,1023.2,0.7,-1.1,-2.3,0.5,0.3,0,21.4,1023.6
